,instId,side,sz,px,tradeId,ts
0,EOS-USDT,buy,0.898336,5.8208,73640689,1630780109619
1,EOS-USDT,sell,3.078452,5.8208,73640688,1630780109220
2,EOS-USDT,sell,1.009778,5.8211,73640687,1630780108817
3,EOS-USDT,sell,6.795544,5.8206,73640686,1630780108117
4,EOS-USDT,buy,0.332759,5.8207,73640685,1630780107123
5,EOS-USDT,buy,1.044808,5.821,73640684,1630780106629
6,EOS-USDT,sell,1.809609,5.8207,73640683,1630780105918
7,EOS-USDT,buy,13.941484,5.8197,73640682,1630780104618
8,EOS-USDT,buy,2,5.8192,73640681,1630780101700
9,EOS-USDT,sell,0.325318,5.8191,73640680,1630780100917
10,EOS-USDT,sell,1.026249,5.8195,73640679,1630780100521
11,EOS-USDT,buy,0.319864,5.8186,73640678,1630780098916
12,EOS-USDT,sell,0.461567,5.8191,73640677,1630780098316
13,EOS-USDT,sell,18.477497,5.8202,73640676,1630780098122
14,EOS-USDT,buy,3.454089,5.8215,73640675,1630780097919
15,EOS-USDT,sell,21.531863,5.8231,73640674,1630780097746
16,EOS-USDT,sell,27.745103,5.8231,73640673,1630780097746
17,EOS-USDT,sell,259.346395,5.8231,73640672,1630780097746
18,EOS-USDT,sell,2.613,5.8232,73640671,1630780097746
19,EOS-USDT,buy,102.976497,5.8247,73640670,1630780097717
20,EOS-USDT,sell,200,5.8242,73640669,1630780097694
21,EOS-USDT,buy,20.508393,5.8252,73640668,1630780096223
22,EOS-USDT,sell,7.410768,5.8247,73640667,1630780095918
23,EOS-USDT,sell,55,5.8236,73640666,1630780095742
24,EOS-USDT,sell,2.752,5.8242,73640665,1630780095742
25,EOS-USDT,sell,1.9996,5.8245,73640664,1630780095742
26,EOS-USDT,sell,200,5.8253,73640663,1630780095742
27,EOS-USDT,buy,154.738878,5.8258,73640662,1630780095740
28,EOS-USDT,buy,81.157313,5.8255,73640661,1630780095640
29,EOS-USDT,sell,19.402892,5.825,73640660,1630780095516
30,EOS-USDT,sell,0.9998,5.8254,73640659,1630780095358
31,EOS-USDT,sell,61.791388,5.826,73640658,1630780095352
32,EOS-USDT,sell,2,5.8261,73640657,1630780095340
33,EOS-USDT,sell,1,5.8261,73640656,1630780095340
34,EOS-USDT,buy,75.755704,5.8261,73640655,1630780095064
35,EOS-USDT,buy,100.752031,5.8261,73640654,1630780095064
36,EOS-USDT,buy,83.477503,5.8261,73640653,1630780095051
37,EOS-USDT,buy,1.637254,5.826,73640652,1630780095051
38,EOS-USDT,buy,78.162382,5.8259,73640651,1630780095038
39,EOS-USDT,buy,55,5.8259,73640650,1630780095023
40,EOS-USDT,buy,62.644451,5.8255,73640649,1630780095021
41,EOS-USDT,buy,41.355549,5.8252,73640648,1630780095021
42,EOS-USDT,buy,158.644451,5.8252,73640647,1630780095019
43,EOS-USDT,buy,143,5.8246,73640646,1630780095009
44,EOS-USDT,buy,57,5.8246,73640645,1630780095008
45,EOS-USDT,buy,2,5.825,73640644,1630780094990
46,EOS-USDT,buy,55,5.8249,73640643,1630780094990
47,EOS-USDT,buy,177.371581,5.8236,73640642,1630780094979
48,EOS-USDT,buy,459.810014,5.8235,73640641,1630780094979
49,EOS-USDT,buy,200,5.8232,73640640,1630780094979
50,EOS-USDT,buy,30.201164,5.8231,73640639,1630780094979
51,EOS-USDT,buy,30.201165,5.8231,73640638,1630780094979
52,EOS-USDT,buy,2,5.822,73640637,1630780094979
53,EOS-USDT,sell,8.065901,5.8214,73640636,1630780094920
54,EOS-USDT,sell,9.464145,5.8216,73640635,1630780094529
55,EOS-USDT,buy,36.544532,5.8207,73640634,1630780094321
56,EOS-USDT,sell,4.829878,5.8211,73640633,1630780094121
57,EOS-USDT,buy,2.991429,5.821,73640632,1630780093720
58,EOS-USDT,buy,2,5.819,73640631,1630780093474
59,EOS-USDT,buy,1.676748,5.8186,73640630,1630780093151
60,EOS-USDT,buy,1.693293,5.816,73640629,1630780091224
61,EOS-USDT,buy,0.306707,5.816,73640628,1630780090139
62,EOS-USDT,sell,0.471552,5.8157,73640627,1630780090021
63,EOS-USDT,sell,29.762793,5.814,73640626,1630780088730
64,EOS-USDT,sell,2,5.8145,73640625,1630780088663
65,EOS-USDT,buy,5.161706,5.8129,73640624,1630780088232
66,EOS-USDT,sell,1.540029,5.8118,73640623,1630780087722
67,EOS-USDT,buy,2.778081,5.812,73640622,1630780087017
68,EOS-USDT,sell,28.322451,5.812,73640621,1630780086824
69,EOS-USDT,buy,0.903755,5.8119,73640620,1630780086620
70,EOS-USDT,buy,0.476311,5.8117,73640619,1630780085720
71,EOS-USDT,sell,1.06987,5.8112,73640618,1630780084517
72,EOS-USDT,sell,47.145037,5.8106,73640617,1630780083920
73,EOS-USDT,buy,39.178372,5.8108,73640616,1630780083436
74,EOS-USDT,sell,1.146729,5.8106,73640615,1630780082920
75,EOS-USDT,buy,6.668105,5.8114,73640614,1630780082640
76,EOS-USDT,buy,4.786219,5.8114,73640613,1630780082632
77,EOS-USDT,buy,0.349824,5.8114,73640612,1630780082625
78,EOS-USDT,buy,5.34142,5.8114,73640611,1630780082623
79,EOS-USDT,buy,4.452296,5.8114,73640610,1630780082619
80,EOS-USDT,buy,0.421864,5.8114,73640609,1630780082619
81,EOS-USDT,sell,1.581315,5.8106,73640608,1630780082619
82,EOS-USDT,buy,0.30618,5.8115,73640607,1630780082021
83,EOS-USDT,sell,11.646409,5.8108,73640606,1630780080323
84,EOS-USDT,sell,15.79989,5.8112,73640605,1630780079926
85,EOS-USDT,sell,0.4127,5.8115,73640604,1630780079622
86,EOS-USDT,sell,1.614508,5.8109,73640603,1630780079328
87,EOS-USDT,sell,39.237959,5.8107,73640602,1630780079018
88,EOS-USDT,sell,0.814368,5.8107,73640601,1630780078619
89,EOS-USDT,buy,16.833733,5.8115,73640600,1630780078428
90,EOS-USDT,sell,1.252643,5.8117,73640599,1630780076618
91,EOS-USDT,buy,0.844442,5.8106,73640598,1630780075905
92,EOS-USDT,sell,11.696069,5.8112,73640597,1630780075419
93,EOS-USDT,sell,0.522361,5.8107,73640596,1630780075219
94,EOS-USDT,sell,1.081567,5.8113,73640595,1630780074925
95,EOS-USDT,sell,0.822657,5.8109,73640594,1630780074218
96,EOS-USDT,buy,0.586137,5.811,73640593,1630780073818
97,EOS-USDT,sell,34.341102,5.8115,73640592,1630780073618
98,EOS-USDT,buy,2.067682,5.8107,73640591,1630780073317
99,EOS-USDT,sell,1.077656,5.8107,73640590,1630780073018
