,instId,side,sz,px,tradeId,ts
0,ETH-USDT,sell,0.000007,3881,132189478,1630779178061
1,ETH-USDT,sell,0.002716,3881,132189477,1630779178042
2,ETH-USDT,sell,0.002724,3881,132189476,1630779178042
3,ETH-USDT,sell,0.105005,3882.35,132189475,1630779168372
4,ETH-USDT,sell,0.161239,3882.44,132189474,1630779141973
5,ETH-USDT,buy,0.003035,3881.42,132189473,1630779130128
6,ETH-USDT,buy,0.008541,3881.42,132189472,1630779129178
7,ETH-USDT,sell,0.206854,3881.54,132189471,1630779127473
8,ETH-USDT,buy,0.014892,3881.35,132189470,1630779125686
9,ETH-USDT,buy,0.008431,3881.75,132189469,1630779125363
10,ETH-USDT,buy,0.330429,3881.94,132189468,1630779124830
11,ETH-USDT,buy,0.058407,3881.94,132189467,1630779124830
12,ETH-USDT,sell,0.279372,3883.24,132189466,1630779107373
13,ETH-USDT,sell,0.029567,3882.98,132189465,1630779097677
14,ETH-USDT,sell,0.016138,3882.98,132189464,1630779097677
15,ETH-USDT,sell,0.008366,3882.98,132189463,1630779097677
16,ETH-USDT,sell,0.086145,3882.98,132189462,1630779095949
17,ETH-USDT,buy,0.169851,3882.14,132189461,1630779091010
18,ETH-USDT,buy,0.022202,3882.14,132189460,1630779090998
19,ETH-USDT,buy,0.007947,3882.14,132189459,1630779090995
20,ETH-USDT,buy,0.5,3882,132189458,1630779090982
21,ETH-USDT,buy,0.005152,3881.77,132189457,1630779090982
22,ETH-USDT,sell,0.248777,3881.44,132189456,1630779083971
23,ETH-USDT,sell,0.154701,3881.06,132189455,1630779070271
24,ETH-USDT,sell,0.101056,3880.87,132189454,1630779069276
25,ETH-USDT,sell,0.001,3881.77,132189453,1630779057519
26,ETH-USDT,buy,0.080318,3880.14,132189452,1630779054203
27,ETH-USDT,buy,0.2,3880.14,132189451,1630779054203
28,ETH-USDT,sell,0.005453,3880.13,132189450,1630779052815
29,ETH-USDT,buy,0.225878,3877.26,132189449,1630779018271
30,ETH-USDT,sell,0.17787,3877.45,132189448,1630779016574
31,ETH-USDT,sell,0.001,3877.33,132189447,1630779006755
32,ETH-USDT,sell,0.001,3877.33,132189446,1630779005757
33,ETH-USDT,buy,0.145841,3876.92,132189445,1630779005074
34,ETH-USDT,buy,0.195434,3876.94,132189444,1630779004877
35,ETH-USDT,sell,0.001,3876.83,132189443,1630779004771
36,ETH-USDT,buy,0.004642,3876.95,132189442,1630779004388
37,ETH-USDT,buy,0.004642,3876.95,132189441,1630779004273
38,ETH-USDT,buy,0.201739,3876.92,132189440,1630779003974
39,ETH-USDT,sell,0.001,3876.71,132189439,1630779003754
40,ETH-USDT,sell,0.217461,3877.07,132189438,1630779003071
41,ETH-USDT,sell,0.001,3877.21,132189437,1630779002754
42,ETH-USDT,sell,0.001,3877.21,132189436,1630779001753
43,ETH-USDT,sell,0.271318,3877.3,132189435,1630779000878
44,ETH-USDT,sell,0.001,3877.71,132189434,1630779000759
45,ETH-USDT,sell,0.001,3877.71,132189433,1630778999753
46,ETH-USDT,sell,0.001,3877.71,132189432,1630778998761
47,ETH-USDT,sell,0.001,3877.71,132189431,1630778997751
48,ETH-USDT,sell,0.001,3876.88,132189430,1630778996750
49,ETH-USDT,sell,0.001,3876.88,132189429,1630778995752
50,ETH-USDT,buy,0.124,3876.89,132189428,1630778995028
51,ETH-USDT,sell,0.001,3876.91,132189427,1630778994758
52,ETH-USDT,sell,0.000008,3878.14,132189426,1630778994384
53,ETH-USDT,sell,0.06692,3878.14,132189425,1630778994382
54,ETH-USDT,sell,0.001,3878.14,132189424,1630778993746
55,ETH-USDT,sell,0.001,3878.14,132189423,1630778992748
56,ETH-USDT,sell,0.001,3878.14,132189422,1630778991747
